Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
12,22,12-22,depok_air_lag6,106.0,12-43,12-44,12-44,8645.39551,3697.0,
12,23,12-23,manggarai_air_lag3,640.0,12-45,12-46,12-46,5548.53516,2817.0,
12,24,12-24,manggarai_air_lag3,645.0,12-47,12-48,12-48,10689.5,5443.0,
12,25,12-25,manggarai_air_lag3,670.0,12-49,12-50,12-50,8718.90625,2416.0,
12,26,12-26,depok_air_lag6,210.0,12-51,12-52,12-52,3840.41406,119.0,
12,27,12-27,depok_air_lag6,190.0,12-53,12-54,12-54,5909.5,538.0,
12,28,12-28,depok_air_lag16,210.0,12-55,12-56,12-56,5233.125,484.0,
12,29,12-29,depok_air_lag6,185.0,12-57,12-58,12-58,5230.1875,446.0,
12,30,12-30,manggarai_air_lag1,820.0,12-59,12-60,12-60,5220.0,167.0,
12,31,12-31,manggarai_air_lag1,575.0,12-61,12-62,12-62,4748.1875,1700.0,
12,32,12-32,time_index,157.0,12-63,12-64,12-64,49979.3906,9.0,
12,33,12-33,depok_air_lag6,165.0,12-65,12-66,12-66,3110.78125,1609.0,
12,34,12-34,manggarai_air_lag4,645.0,12-67,12-68,12-68,1048.97375,24.0,
12,35,12-35,depok_air_lag8,130.0,12-69,12-70,12-70,2060.84375,2677.0,
12,36,12-36,manggarai_air_lag4,598.0,12-71,12-72,12-72,1188.64148,7.0,
12,37,12-37,depok_air_lag19,92.5,12-73,12-74,12-74,100681.492,52.0,
12,38,12-38,depok_air_lag6,175.0,12-75,12-76,12-76,1507.20312,2604.0,
12,39,12-39,manggarai_air_lag3,602.5,12-77,12-78,12-78,3358.42969,2418.0,
12,40,12-40,depok_air_lag12,86.0,12-79,12-80,12-80,2437.76367,26.0,
12,41,12-41,Leaf,,,,,-19.9430428,1.0,
12,42,12-42,manggarai_air_lag6,592.5,12-81,12-82,12-82,86.4474411,6.0,
12,43,12-43,depok_air_lag24,200.0,12-83,12-84,12-84,5942.2168,3270.0,
12,44,12-44,depok_air_lag6,210.0,12-85,12-86,12-86,4345.64404,427.0,
12,45,12-45,time_index,18995.0,12-87,12-88,12-88,3353.87891,235.0,
12,46,12-46,manggarai_air_lag15,630.0,12-89,12-90,12-90,4468.71289,2582.0,
